Patch;MatchName;MatchId;Winner;BB1;BB2;BB3;BB4;BB5;BP1;BP2;BP3;BP4;BP5;RB1;RB2;RB3;RB4;RB5;RP1;RP2;RP3;RP4;RP5
13.19.535.4316;ESPORTSTMNT03_3227847;110853020184706765|game3;1;JarvanIV;Ashe;Renata;Poppy;KSante;Azir;Varus;Bard;Belveth;Aatrox;Neeko;Rumble;Orianna;MonkeyKing;Jayce;Xayah;Rakan;Akali;LeeSin;Kennen
13.19.535.4316;ESPORTSTMNT03_3227846;110853020184706765|game2;1;Azir;JarvanIV;Ashe;Jayce;KSante;Kalista;Senna;Maokai;Aatrox;Gwen;Neeko;Orianna;Rumble;Poppy;Yone;Renata;Draven;Sylas;Nocturne;Ahri
13.19.535.4316;ESPORTSTMNT03_3228396;110853020184706765|game1;1;JarvanIV;Azir;Sylas;Ashe;Varus;Maokai;Jayce;Aatrox;Senna;LeeSin;Neeko;Orianna;Rumble;Sejuani;Rell;Kalista;Renata;Yone;Ahri;TahmKench
13.19.535.4316;ESPORTSTMNT03_3228025;110853020184706759|game4;1;Rumble;Poppy;Rell;Kaisa;Xayah;Orianna;Belveth;Aatrox;Zeri;Bard;Rakan;Neeko;Kalista;Ashe;Renata;JarvanIV;Varus;Azir;Yone;Lulu
13.19.535.4316;ESPORTSTMNT03_3227455;110853020184706759|game3;0;Rakan;Neeko;JarvanIV;Pyke;Bard;Kalista;Rell;Azir;Aatrox;Renekton;Rumble;Orianna;Poppy;Akali;KSante;Varus;Ashe;MonkeyKing;Taliyah;Renata
13.19.535.4316;ESPORTSTMNT03_3227454;110853020184706759|game2;0;Rumble;Poppy;Akali;Nautilus;Blitzcrank;Orianna;Kalista;Vi;KSante;Aatrox;Rakan;Neeko;JarvanIV;Gwen;Rell;Caitlyn;Ashe;Azir;Maokai;Senna
13.19.535.4316;ESPORTSTMNT03_3228010;110853020184706759|game1;0;Rakan;Neeko;JarvanIV;Senna;Caitlyn;Orianna;Rell;Aatrox;Jhin;Alistar;Ashe;Poppy;Kalista;Nautilus;Renata;Rumble;Akali;Vi;Xayah;Bard
13.19.535.4316;ESPORTSTMNT03_3226463;110853020184706753|game5;0;Jax;JarvanIV;Sylas;Gnar;Aatrox;Maokai;Kalista;Renata;Ornn;Lux;Rumble;Orianna;Neeko;Rakan;Ashe;Jayce;Sejuani;KSante;Caitlyn;Azir
13.19.535.4316;ESPORTSTMNT03_3227424;110853020184706753|game4;0;Rumble;Poppy;Belveth;TahmKench;Rakan;Orianna;Sejuani;Jax;Aphelios;Heimerdinger;Neeko;JarvanIV;Vi;Caitlyn;Kalista;Ashe;Syndra;Rell;Quinn;Bard
13.19.535.4316;ESPORTSTMNT03_3225986;110853020184706753|game3;0;Jax;JarvanIV;Rakan;Taliyah;Azir;Ashe;Poppy;Varus;Syndra;Akali;Rumble;Orianna;Neeko;Sylas;Ahri;Kalista;Vi;Caitlyn;Aatrox;Graves
